episode_id,total_reward,average_reward,completed_tasks,task_completion_rate,sla_violations,sla_compliance_rate,energy_consumed,energy_efficiency,average_latency,resource_utilization,fairness_index,response_time,run_id,config_name,experiment_id
0,48.71040426998731,0.9742080853997461,2,0.04,2,0.0,527.6384415808265,0.003790474390015856,68.53560930470964,0.4675625919988839,0.5759101796987675,35.248950240147444,0,full,exp_000
1,46.6148398384263,0.932296796768526,5,0.1,3,0.4,475.04831181266326,0.010525245276467301,70.06757542844034,0.4616559802416195,0.6610129644381377,25.20160518190541,0,full,exp_000
2,45.95185869564363,0.9190371739128725,3,0.06,6,-1.0,440.3950748908852,0.0068120652819364455,71.78801846421119,0.5110224292623916,0.7583365243194627,35.34082303513744,0,full,exp_000
3,49.97202202428825,0.999440440485765,4,0.08,3,0.25,504.06538280582316,0.007935478484426862,73.78385848769697,0.5246433036177683,0.7964469785771565,20.424386748570452,0,full,exp_000
4,48.87410318603129,0.9774820637206258,3,0.06,1,0.6666666666666667,509.83705407236005,0.005884232964311411,72.50837041791702,0.4769445021273354,0.8722970308116835,30.94896611130362,0,full,exp_000
5,48.357654709120666,0.9671530941824134,7,0.14,4,0.4285714285714286,452.883244332424,0.015456522376575013,69.51488483247995,0.4745241645711707,0.9372438539384053,26.592571982997992,0,full,exp_000
6,46.03195486210784,0.9206390972421568,4,0.08,3,0.25,401.0822143602704,0.00997301764272952,73.15316638836856,0.49734472710274813,0.8243059413212521,32.95482607579819,0,full,exp_000
7,48.37937082911185,0.967587416582237,6,0.12,2,0.6666666666666667,492.7320076957693,0.012177004753676604,65.6378535023443,0.467884001151026,0.7171820330072387,31.4722434583973,0,full,exp_000
8,47.40445261467808,0.9480890522935616,4,0.08,4,0.0,456.8015772923742,0.008756537189975188,70.58169686798522,0.4406143429627775,0.6302057321431901,30.382858830547697,0,full,exp_000
9,49.46953049219482,0.9893906098438964,9,0.18,1,0.8888888888888888,445.9333537959655,0.020182388070747233,71.13084631695489,0.5291099052497932,0.7138923306434558,34.379291558975204,0,full,exp_000
10,48.124684320236895,0.9624936864047379,3,0.06,3,0.0,470.897993250523,0.006370806507990291,70.08319690934326,0.5071254014100787,0.777758608022865,26.200731301479976,0,full,exp_000
11,47.8036674162226,0.956073348324452,12,0.24,3,0.75,504.3938425214174,0.02379093277589022,71.82060001683499,0.47704006292680545,0.6944733545513063,30.82599042191464,0,full,exp_000
12,47.09640204326644,0.9419280408653288,4,0.08,3,0.25,547.5521298033887,0.007305240510042931,72.3017616919367,0.4836474361404698,0.6262401434931167,33.185836742797484,0,full,exp_000
13,50.77333901288975,1.015466780257795,9,0.18,2,0.7777777777777778,545.7909653263908,0.016489829571689357,75.89127304476514,0.5390008325951446,0.8224612188920416,28.314427260380377,0,full,exp_000
14,47.434087226487435,0.9486817445297487,10,0.2,3,0.7,601.2925092062411,0.01663084080857897,72.77877793134202,0.5283719641385525,0.7975669807968978,35.45750031389128,0,full,exp_000
